year,temp
3041,-0.504306684245
3042,-0.489932945234
3043,-0.475643266478
3044,-0.461437647976
3045,-0.44731608973
3046,-0.433278591739
3047,-0.419325154002
3048,-0.405455776521
3049,-0.391935755335
3050,-0.379030386484
3051,-0.36673966997
3052,-0.355063605791
3053,-0.344002193948
3054,-0.333555434441
3055,-0.32372332727
3056,-0.314505872435
3057,-0.305903069935
3058,-0.297914919771
3059,-0.290541421944
3060,-0.283782576451
3061,-0.277638383295
3062,-0.272108842475
3063,-0.26719395399
3064,-0.262893717841
3065,-0.259208134028
3066,-0.256137202551
3067,-0.253680923409
3068,-0.251839296604
3069,-0.250612322134
3070,-0.25
3071,-0.250002330202
3072,-0.25061931274
3073,-0.251850947613
3074,-0.253697234822
3075,-0.256158174367
3076,-0.259233766248
3077,-0.262924010465
3078,-0.267228907018
3079,-0.272148455906
3080,-0.27768265713
3081,-0.28383151069
3082,-0.290595016586
3083,-0.297973174818
3084,-0.305965985385
3085,-0.314573448289
3086,-0.323795563528
3087,-0.333632331103
3088,-0.344083751013
3089,-0.35514982326
3090,-0.366830547842
3091,-0.379125924761
3092,-0.392035954015
3093,-0.404937570236
3094,-0.417207708054
3095,-0.428846367471
3096,-0.439853548486
3097,-0.450229251099
3098,-0.459973475309
3099,-0.469086221118
3100,-0.477567488524
3101,-0.485417277529
3102,-0.492635588131
3103,-0.499222420332
3104,-0.50517777413
3105,-0.510501649526
3106,-0.51519404652
3107,-0.519254965112
3108,-0.522684405303
3109,-0.525482367091
3110,-0.527648850477
3111,-0.529183855461
3112,-0.530087382042
3113,-0.530359430222
3114,-0.53
3115,-0.529009091376
3116,-0.527386704349
3117,-0.525132838921
3118,-0.522247495091
3119,-0.518730672858
3120,-0.514582372223
3121,-0.509802593187
3122,-0.504391335748
3123,-0.498348599908
3124,-0.491674385665
3125,-0.48436869302
3126,-0.476431521973
3127,-0.467862872524
3128,-0.458662744673
3129,-0.44883113842
3130,-0.438368053765
3131,-0.427273490708
3132,-0.415547449249
3133,-0.403189929387
3134,-0.390200931124
3135,-0.376580454459
3136,-0.362328499391
3137,-0.347839649698
3138,-0.333508489156
3139,-0.319335017765
3140,-0.305319235525
3141,-0.291461142435
3142,-0.277760738497
3143,-0.264218023709
3144,-0.250832998072
3145,-0.237605661586
3146,-0.224536014251
3147,-0.211624056067
3148,-0.198869787034
3149,-0.186273207151
